title,creators,collection,tags,description
Soaking in God's Presence,"Leif Hetland, Paul Yadao",Philippines,"spirituality, religion","Soaking prayer is not a new discovery as much as it is a recovery of a spiritual path to a lifestyle of intimacy with God paved by countless heroes of the faith. This type of prayer has been known in the past as waiting upon the Lord, being still, resting in the Lord, tarrying in His Presence, meditative and contemplative prayer, etc. Through this manual, listen to the hearts of Leif Hetland and Paul Yadao as they lead you into:  the heart of soaking  being still to hear His voice  the rhythm of heaven creating a culture of soaking"
"Startup, Scaleup, Screwup",Jurgen Appelo,Philippines,"business, management","Real-world tools to build your venture, grow your business, and avoid mistakes Startup, Scaleup, Screwup is an expert guide for emerging and established businesses to accelerate growth, facilitate scalability, and keep pace with the rapidly changing economic landscape. The contemporary marketplace is more dynamic than ever before—increased global competition, the impact of digital transformation, and disruptive innovation factors require businesses to implement agile management and business strategies to compete and thrive. This indispensable book provides business leaders and entrepreneurs the tools and guidance to meet growth and scalability challenges head on. Equal parts motivation and practical application, this book answers the questions every business leader asks from the startup ventures to established companies. Covering topics including funding options, employee hiring, product-market validation, remote team management, agile scaling, and the business lifecycle, this essential resource provides a solid approach to grow at the right pace and stay lean. This book will enable you to: Apply 42 effective tools to sustain and accelerate your business growth Avoid the mistakes and pitfalls associated with rapid business growth or organizational change Develop a clear growth plan to integrate into your overall business model Structure your business for rapid scaling and efficient management Startup, Scaleup, Screwup: 42 Tools to Accelerate Lean & Agile Business Growth is a must-read for entrepreneurs, founders, managers, and senior executives. Author Jurgen Appelo shares his wisdom on the creative economy, agile management, innovation marketing, and organizational change to provide a comprehensive guide to business growth. Practical methods and expert advice make this book an essential addition to any business professional’s library."
Wash: Only a Bookkeeper,Jr. Jose Y. Dalisay,Philippines,biography,"A biography of Washington Z. SyCip, who was born in Manila in 1921. He went on to become one of the foremost practitioners of accounting in the Philippines and Asia, as well as a prime advocate of closer cooperation between the United States, Europe, and Asia."
Heartstopper #1,Alice Oseman,Philippines,fiction,"Boy meets boy. Boys become friends. Boys fall in love. A sweet and charming coming-of-age story that explores friendship, love, and coming out. ""Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book."" -- Rainbow Rowell, author of Carry On Shy and softhearted Charlie Spring sits next to rugby player Nick Nelson in class one morning. A warm and intimate friendship follows, and that soon develops into something more for Charlie, who doesn't think he has a chance. But Nick is struggling with feelings of his own, and as the two grow closer and take on the ups and downs of high school, they come to understand the surprising and delightful ways in which love works."
Heartstopper: Volume 2,Alice Oseman,Philippines,fiction,"Nick and Charlie are best friends, but one spontaneous kiss has changed everything. In the aftermath, Charlie thinks that he's made a horrible mistake and ruined his friendship with Nick, but Nick is more confused than ever.Love works in surprising ways, and Nick comes to see the world from a new perspective. He discovers all sorts of things about his friends, his family... and himself."
Heartstopper #3,Alice Oseman,Philippines,fiction,"The third volume in the poignant and sweet Heartstopper series, featuring beautiful two-color artwork Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book. -- Rainbow Rowell, author of Carry On Charlie didn't think Nick could ever like him back, but now they're officially boyfriends. Nick has even found the courage to come out to his mom. But coming out isn't something that happens just once, and Nick and Charlie try to figure out when to tell their friends that they're dating. Not being out to their classmates gets even harder during a school trip to Paris. As Nick and Charlie's feelings get more serious, they'll need each other more than ever."
Heartstopper #4,Alice Oseman,Philippines,fiction,"Boy meets boy. Boys become friends. Boys fall in love. A sweet and charming coming-of-age story that explores friendship, love, and coming out. This edition features beautiful two-color artwork. Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book. -- Rainbow Rowell, author of Carry On Shy and softhearted Charlie Spring sits next to rugby player Nick Nelson in class one morning. A warm and intimate friendship follows, and that soon develops into something more for Charlie, who doesn't think he has a chance. But Nick is struggling with feelings of his own, and as the two grow closer and take on the ups and downs of high school, they come to understand the surprising and delightful ways in which love works."
Tiny Habits,B. J. Fogg,Philippines,self-help,"The world's leading expert on habit formation shows how you can have a happier, healthier life: by starting small.    Myth: Change is hard. Reality: Change can be easy if you know the simple steps of Behavior Design.   Myth: It's all about willpower. Reality: Willpower is fickle and finite, and exactly the wrong way to create habits.   Myth: You have to make a plan and stick to it. Reality: You transform your life by starting small and being flexible.   BJ FOGG is here to change your life--and revolutionize how we think about human behavior. Based on twenty years of research and Fogg's experience coaching more than 40,000 people, Tiny Habits cracks the code of habit formation. With breakthrough discoveries in every chapter, you'll learn the simplest proven ways to transform your life. Fogg shows you how to feel good about your successes instead of bad about your failures.    Already the habit guru to companies around the world, Fogg brings his proven method to a global audience for the first time. Whether you want to lose weight, de-stress, sleep better, or be more productive each day, Tiny Habits makes it easy to achieve."
5 Levels of Leadership,John C. Maxwell,Philippines,"self-help, business","True leadership isnt a matter of having a certain job or title. In fact, being chosen for a position is only the first of the five levels every effective leader achieves. To become more than ""the boss"" people follow only because they are required to, you have to master the ability to invest in people and inspire them. To grow further in your role, you must achieve results and build a team that produces. You need to help people to develop their skills to become leaders in their own right. And if you have the skill and dedication, you can reach the pinnacle of leadership-where experience will allow you to extend your influence beyond your immediate reach and time for the benefit of others--Back cover."
Bad Feminist: Essays,Roxane Gay,Philippines,memoir,"A collection of essays spanning politics, criticism, and feminism from one of the most-watched young cultural observers of her generation, Roxane Gay.“Pink is my favorite color. I used to say my favorite color was black to be cool, but it is pink—all shades of pink. If I have an accessory, it is probably pink. I read Vogue, and I’m not doing it ironically, though it might seem that way. I once live-tweeted the September issue.”In these funny and insightful essays, Roxane Gay takes us through the journey of her evolution as a woman (Sweet Valley High) of color (The Help) while also taking readers on a ride through culture of the last few years (Girls, Django in Chains) and commenting on the state of feminism today (abortion, Chris Brown). The portrait that emerges is not only one of an incredibly insightful woman continually growing to understand herself and our society, but also one of our culture.Bad Feminist is a sharp, funny, and spot-on look at the ways in which the culture we consume becomes who we are, and an inspiring call-to-arms of all the ways we still need to do better."
Good or God?,John Bevere,Philippines,"self-help, religion","These days the terms good and God seem synonymous. We believe what sgenerally accepted as good must be in line with God s will. Generosity, humility, justice good. Selfishness, arrogance, cruelty evil. Thedistinction seems pretty straightforward.But is that all there is to it? If good is so obvious, why does the Bible saythat we need discernment to recognize it?Good or God? isn t another self-help message. This book will do more thanask you to change your behavior. It will empower you to engage with Godon a level that will change every aspect of your life."""
Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,Philippines,"self-help, business","With Who Moved My Cheese? Dr. Spencer Johnson realizes the need for finding the language and tools to deal with change--an issue that makes all of us nervous and uncomfortable. Most people are fearful of change because they don't believe they have any control over how or when it happens to them. Since change happens either to the individual or by the individual, Spencer Johnson shows us that what matters most is the attitude we have about change. When the Y2K panic gripped the corporate realm before the new millenium, most work environments finally recognized the urgent need to get their computers and other business systems up to speed and able to deal with unprecedented change. And businesses realized that this was not enough: they needed to help people get ready, too. Spencer Johnson has created his new book to do just that. The coauthor of the multimillion bestseller The One Minute Manager has written a deceptively simple story with a dramatically important message that can radically alter the way we cope with change. Who Moved My Cheese? allows for common themes to become topics for discussion and individual interpretation.Who Moved My Cheese? takes the fear and anxiety out of managing the future and shows people a simple way to successfully deal with the changing times, providing them with a method for moving ahead with their work and lives safely and effectively."
Dare to Lead,Brené Brown,Philippines,"self-help, business","Brené Brown has taught us what it means to dare greatly, rise strong, and brave the wilderness. Now, based on new research conducted with leaders, change makers, and culture shifters, she's showing us how to put those ideas into practice so we can step up and lead. Leadership is not about titles, status, and wielding power. A leader is anyone who takes responsibility for recognizing the potential..."
Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,"Ichiro Kishimi, Fumitake Koga",Philippines,"self-help, mental health","The Courage to Be Disliked, already an enormous bestseller in Asia with more than 3.5 million copies sold, demonstrates how to unlock the power within yourself to be the person you truly want to be. Using the theories of Alfred Adler, one of the three giants of twentieth century psychology, The Courage to Be Disliked follows an illuminating conversation between a philosopher and a young man. The philosopher explains to his pupil how each of us is able to determine our own life, free from the shackles of past experiences, doubts, and the expectations of others. It's a way of thinking that is deeply liberating, allowing us to develop the courage to change, and to ignore the limitations that we and other people have placed on us. The result is a book that is both highly accessible and profound in its importance. Millions have already read and benefitted from its wisdom. This truly life-changing book will help you declutter your mind of harmful thoughts and attitudes, helping you to make a lasting change, achieve real happiness, and find success."
Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Philippines,historical fiction,"“Riveting, heart-wrenching, and full of Old Hollywood glamour, The Seven Husbands of Evelyn Hugo is one of the most captivating reads of 2017.” –Buzzfeed “The epic adventures Evelyn creates over the course of a lifetime will leave every reader mesmerized. This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama.” —PopSugar In this entrancing novel “that speaks to the Marilyn Monroe and Elizabeth Taylor in us all” (Kirkus Reviews), a legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the ‘80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways. “Heartbreaking, yet beautiful” (Jamie Blynn, Us Weekly), The Seven Husbands of Evelyn Hugo is “Tinseltown drama at its finest” (Redbook): a mesmerizing journey through the splendor of old Hollywood into the harsh realities of the present day as two women struggle with what it means—and what it costs—to face the truth."
Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Philippines,"business, personal growth","The Power of Habit by Charles Duhigg explores the science behind habits, explaining how they form and how they can be changed. Using real-world examples from business, sports, and daily life, Duhigg breaks down the habit loop—cue, routine, and reward—offering insights into how individuals and organizations can harness habits for success."
Personal MBA 10th Anniversary Edition,Josh Kaufman,Philippines,"business, entrepreneurship","The Personal MBA 10th Anniversary Edition provides a clear overview of the essentials of every major business topic: entrepreneurship, product development, marketing, sales, negotiation, accounting, finance, productivity, communication, psychology, leadership, systems design, analysis, and operations management...all in one comprehensive volume."
It Starts with Us,Colleen Hoover,Philippines,fiction,"Lily and her ex-husband, Ryle, have just settled into a civil coparenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date.

But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life—and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter’s life.

Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the “gripping, pulse-pounding” (Sarah Pekkanen, New York Times bestselling author ) bestselling phenomenon It Ends with Us left off. Revealing more about Atlas’s past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that “no one delivers an emotional read like Colleen Hoover” (Anna Todd, New York Times bestselling author).
Read less"
Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,Philippines,"business, leadership & management","If you’ve ever been startled by how fast the world is changing, the Scrum framework is one of the reasons why. Productivity gains in workflow of as much as 1,200 percent have been recorded, and there’s no more lucid—or compelling—explainer of Scrum and its bright promise than Jeff Sutherland. The thorny problem that Sutherland began tackling back then boils down to this: People are spectacularly bad at doing things with agility and efficiency. Best-laid plans go up in smoke. Teams often work at cross-purposes to one another. And when the pressure rises, unhappiness soars.

Woven with insights from martial arts, judicial decision making, advanced aerial combat, robotics, and Sutherland’s experience as a West Point–educated fighter pilot, a biometrics expert, a medical researcher, an early innovator of ATM technology, and a C-level executive at eleven different technology companies, this book will take you to Scrum’s front lines, where Sutherland’s system has brought the FBI into the twenty-first century, helped support John Deere’s supply chain amid a global pandemic and supply chain shortage, reduced poverty in the Third World, and even planned weddings and accomplished weekend chores.

The way we work has changed dramatically since Sutherland first introduced Scrum a decade ago. This urgent update shares new insights and provides new tools to take advantage of the radical productivity that Scrum delivers. Sutherland will show you how to optimize working with artificial intelligence and share the latest cognitive science research on culture, psychological safety, diversity, and happiness, and how these factors drive performance, innovation, and overall organizational health.

This new edition contains a decade of lessons learned. Whether it’s ten years ago, now, or ten years into the future, the Scrum framework is guaranteed to help you deliver results. But the most important reason to read this book is that it may just help you achieve what others consider unachievable."
"Love Your Life, Not Theirs: 7 Money Habits for Living the Life You Want",Rachel Cruze,Philippines,"finance, stock market","In Love Your Life, Not Theirs, Rachel Cruze shines a spotlight on the most damaging money habit we have: comparing ourselves to others. Then she unpacks seven essential money habits for living the life we really want—a life in line with our values, where we can afford the things we want to buy without being buried under debt, stress, and worry.


The Joneses are broke. 


Life looks good, but hidden beneath that glossy exterior are credit card bills, student loans, car payments, and an out-of-control mortgage. Their money situation is a mess, and they’re trying to live a life they simply can't afford. So why exactly do we try so hard to keep up with the Joneses?


Are we really living the lives we want, or are we chasing someone else’s dream, just trying to keep up appearances on social media, at church, and in our community? Why are we letting other people set the pace for our own family’s finances?


In Love Your Life, Not Theirs, Rachel shows you how to buy and do the things that are important to you—the right way. That starts by choosing to quit the comparisons, reframing the way you think about money, and developing new habits like avoiding debt, living on a plan, watching your spending, saving for the future, having healthy conversations about money, and giving.


These habits work, and Rachel is living proof. Now, she wants to empower you to live the life you’ve always dreamed of without creating the debt, stress, and worry that are all too often part of the deal. 


Social media isn’t real life, and trying to keep up with the Joneses will never get you anywhere. It’s time to live—and love—your life, not theirs."
Adventures of Sherlock Holmes (Collins Classics),Arthur Conan Doyle,Philippines,fiction,"HarperCollins is proud to present its new range of best-loved, essential classics. 'Sherlock Holmes was transformed when he was hot upon such a scent as this. Men who had only known the quiet thinker and logician of Baker Street would have failed to recognize him. His face flushed and darkened. His brows were drawn into two hard black lines, while his eyes shone out from beneath them with a steely glitter.' Set against the foggy, mysterious backdrops of London and the English countryside, these are the first twelve stories ever published to feature the infamous Detective Sherlock Holmes and his side kick Doctor Watson. They first appeared as stories in the Strand Magazine and feature some of his most famous and enjoyable cases, including 'A Scandal in Bohemia', 'The Adventure of the Blue Carbuncle' and 'The Red-headed League'."
Return of Sherlock Holmes (Collins Classics),Sir Arthur Conan Doyle,Philippines,fiction,"HarperCollins is proud to present its incredible range of best-loved, essential classics.Originally published in 1903–1904, The Return of Sherlock Holmes is the thirteen-story collection of one of the greatest-ever fictional detectives. Three years after the supposed death of Sherlock Holmes and his archenemy Professor Moriarty in the torrent of Reichenbach Falls, Holmes makes a disguised reappearance to Baker Street and his good friend Dr Watson.Featuring one of Holmes’ greatest adversaries, Charles Augustus Milverton, as well as trademark astute logic, forensic science, murder, crytograms and magic, this collection retains all the hallmark brilliance of Arthur Conan Doyle’s best work."
Demian: The Story of Emil Sinclair's Youth (Penguin Classics),Hermann Hesse,Philippines,"fiction, coming of age","A powerful new translation of Nobel Prize winner Hermann Hesse’s masterpiece of youthful rebellion—with a foreword and cover art by James Franco

A Penguin Classic

A young man awakens to selfhood and to a world of possibilities beyond the conventions of his upbringing in Nobel Prize winner Hermann Hesse’s beloved novel Demian. Emil Sinclair is a quiet boy drawn into a forbidden yet seductive realm of petty crime and defiance. His guide is his precocious, mysterious classmate Max Demian, who provokes in Emil a search for self-discovery and spiritual fulfillment. A brilliant psychological portrait, Demian is given new life in this translation, which together with James Franco’s personal and inspiring foreword will bring a new generation to Hesse’s widely influential coming-of-age novel.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
I'll Get Back to You,Sam George,Philippines,"communication, personal growth","Digital communication disrupts our relationships with our partners, families, and friends. Uncertainty, anxiety, and misunderstandings are all caused by emails and texts.

I’ll Get Back to You is the first book to teach you how to stop texts and emails from interfering with your relationships and your life.

The issue with emails and texts is that they do not have instant feedback, like direct contact, where you can understand and clarify in real-time. The immediate feedback loop of the past has broken down, leaving us with broken communication loops. It’s created the Dyscommunication Crisis. You never know if the message will be misunderstood or returned.

The worst is an unreturned message. You’ve been texting your boyfriend for over twenty-four hours, and he hasn't responded. You’ve been texting your child all day and haven’t received a response. The result is identical. We conclude something is wrong and justify it using the worst-case scenario.

Unanswered messages have a significant psychological toll. Polls support this:

1. 67% of people suffer from agitation or anxiety.
2. 67% resort to worst-case scenarios to explain.
3. 71% of people fall into negative loops of thinking.
4. 46% admit to making a mistake they regret.

Even when messages are returned, the exchange is not always complete. The message might be vague, or you may misinterpret it, resulting in similar issues. It’s a broken communication loop, and, unlike in the past, there's no direct input to clear things up.

I’ll Get Back to You ensures that they read your message, not just scan it. There are solutions to ensure your messages are fully understood and promptly returned. There are interesting stories about relationships, dating, family, and work, along with self-improvement worksheets. I’ll Get Back to You offers practical solutions:

- Tested tactics so messages are promptly returned.
- Procedures in writing messages so they are understood.
- Strategies to follow up on unreturned messages.
- Proven ways to calm your mind quickly to reduce stress.

There will be no more waiting, worrying, and miscommunication. I’ll Get Back to You has the answers and solutions that will improve your relationships and life."
And Then There Were None,Agatha Christie,Philippines,fiction,"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:

""Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none.""

When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion."
Sad Girls,Lang Leav,Philippines,"fiction, coming of age","Sad Girls is the much anticipated debut novel from international best-selling author Lang Leav. A beautifully written and emotionally charged coming of age story, where young love, dark secrets, and tragedy collide.

School is almost out for Audrey, but the panic attacks are just beginning. Because Audrey told a lie and now her classmate, Ana, is dead. Just as her world begins to spin out of control, Audrey meets the enigmatic Rad – the boy who could turn it all around. But will their ill-timed romance drive her closer to the edge?"
Couple Next Door,Shari Lapena,Philippines,fiction,"Another thrilling domestic suspense novel from the New York Times bestselling author of Not a Happy Family

“The twists come as fast [as] you can turn the pages.” —People

“I read this novel at one sitting, absolutely riveted by the storyline.  The suspense was beautifully rendered and unrelenting!” —Sue Grafton

It all started at a dinner party. . .

A domestic suspense debut about a young couple and their apparently friendly neighbors—a twisty, rollercoaster ride of lies, betrayal, and the secrets between husbands and wives. . .

Anne and Marco Conti seem to have it all—a loving relationship, a wonderful home, and their beautiful baby, Cora. But one night, when they are at a dinner party next door, a terrible crime is committed. Suspicion immediately lands on the parents. But the truth is a much more complicated story.

Inside the curtained house, an unsettling account of what actually happened unfolds. Detective Rasbach knows that the panicked couple is hiding something. Both Anne and Marco soon discover that the other is keeping secrets, secrets they've kept for years. 

What follows is the nerve-racking unraveling of a family—a chilling tale of  deception, duplicity, and unfaithfulness that will keep you breathless until the final shocking twist."
Flowers in the Attic/Petals on the Wind (Dollanganger Series),V.C. Andrews,Philippines,"fiction, horror","A value-priced bindup of the first two books ever published by V. C. Andrews, Flowers in the Attic and Petals on the Wind."
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,Philippines,"business, finance","“[Taleb is] Wall Street’s principal dissident. . . . [Fooled By Randomness] is to conventional Wall Street wisdom approximately what Martin Luther’s ninety-nine theses were to the Catholic Church.”–Malcolm Gladwell, The New YorkerFinally in paperback, the word-of-mouth sensation that will change the way you think about the markets and the world.This book is about luck: more precisely how we perceive luck in our personal and professional experiences. Set against the backdrop of the most conspicuous forum in which luck is mistaken for skill–the world of business–Fooled by Randomness is an irreverent, iconoclastic, eye-opening, and endlessly entertaining exploration of one of the least understood forces in all of our lives."
MAYBE NOW,Colleen Hoover,Philippines,"fiction, romance","Maggie meets Jake, a cardiologist with a penchant for tandem skydiving. Getting ready for a post-jump date, Maggie comes across an old list of things she wanted to do ""maybe one of these days,"" and decides what better time than now? She keeps Ridge updated on her adventures, but he can't help but worry, even as Sydney grows more and more suspicious about their friendship"
Essentialism,Greg McKeown,Philippines,"self-help, business","NEW YORK TIMES BESTSELLER * More than one million copies sold! Essentialism isn't about getting more done in less time. It's about getting only the right things done.   Featuring the new Essentialism 21-Day Challenge * ""A timely, essential read for anyone who feels overcommitted, overloaded, or overworked.""--Adam Grant   Have you ever: * found yourself stretched too thin? * simultaneously felt overworked and underutilized? * felt busy but not productive? * felt like your time is constantly being hijacked by other people's agendas?   If you answered yes to any of these, the way out is the Way of the Essentialist.    Essentialism is more than a time-management strategy or a productivity technique. It is a systematic discipline for discerning what is absolutely essential, then eliminating everything that is not, so we can make the highest possible contribution toward the things that really matter.   By forcing us to apply more selective criteria for what is Essential, the disciplined pursuit of less empowers us to reclaim control of our own choices about where to spend our precious time and energy--instead of giving others the implicit permission to choose for us.   Essentialism is not one more thing--it's a whole new way of doing everything. It's about doing less, but better, in every area of our lives. Essentialism is a movement whose time has come."
Spanish Love Deception: Pretending to be in love never felt better.,ELENA ARMAS,Philippines,"fiction, contemporary","""Catalina Martin desperately needs a date to her sister's wedding. Especially since her little white lie about her American boyfriend has spiralled out of control. Now everyone she knows--including her ex and his fiancâee--will be there and eager to meet him. She only has four weeks to find someone willing to cross the Atlantic and aid in her deception. New York to Spain is no short flight and her raucous family won't be easy to fool. Enter Aaron Blackford--her tall, handsome, condescending colleague--who surprisingly offers to step in. She'd rather refuse; never has there been a more aggravating, blood-boiling, and insufferable man. But Catalina is desperate, and as the wedding draws nearer, Aaron looks like her best opion. And she begins to realize he might not be as terrible in the real world as he is at the office""--"
Virgin Suicides (Twenty-Fifth Anniversary Edition),Jeffrey Eugenides,Philippines,fiction,"""Catalina Martin desperately needs a date to her sister's wedding. Especially since her little white lie about her American boyfriend has spiralled out of control. Now everyone she knows--including her ex and his fiancâee--will be there and eager to meet him. She only has four weeks to find someone willing to cross the Atlantic and aid in her deception. New York to Spain is no short flight and her raucous family won't be easy to fool. Enter Aaron Blackford--her tall, handsome, condescending colleague--who surprisingly offers to step in. She'd rather refuse; never has there been a more aggravating, blood-boiling, and insufferable man. But Catalina is desperate, and as the wedding draws nearer, Aaron looks like her best opion. And she begins to realize he might not be as terrible in the real world as he is at the office""--"
Breasts and Eggs,Mieko Kawakami,Philippines,fiction,"A strange and beguiling novel about three women struggling to determine their own lives in contemporary Tokyo, from Japan's most exciting young writer, Mieko Kawakami"
Thousand Pieces of You (Firebird),Claudia Gray,Philippines,"fiction, romance","Cloud Atlas meets Orphan Black in this epic dimension-bending trilogy by New York Times bestselling author Claudia Gray about a girl who must chase her father's killer through multiple dimensions.Marguerite Caine's physicist parents are known for their groundbreaking achievements. Their most astonishing invention, called the Firebird, allows users to jump into multiple universes—and promises to revolutionize science forever. But then Marguerite's father is murdered, and the killer—her parent's handsome, enigmatic assistant Paul— escapes into another dimension before the law can touch him.Marguerite refuses to let the man who destroyed her family go free. So she races after Paul through different universes, always leaping into another version of herself. But she also meets alternate versions of the people she knows—including Paul, whose life entangles with hers in increasingly familiar ways. Before long she begins to question Paul's guilt—as well as her own heart. And soon she discovers the truth behind her father's death is far more sinister than she expected.A Thousand Pieces of You explores an amazingly intricate multi-universe where fate is unavoidable, the truth elusive, and love the greatest mystery of all."
Million Worlds with You (Firebird),Claudia Gray,Philippines,"fiction, romance","The fate of the multiverse rests in Marguerite’s hands in the final installment of the Firebird trilogy by New York Times bestselling author Claudia Gray.Ever since she used the Firebird, her parent’s invention, to cross through alternate dimensions, Marguerite has been at the center of a cross-dimensional feud. Now she has learned that the evil Triad Corporation plans to destroy hundreds of universes, using their ultimate weapon: another dimension’s Marguerite who is wicked, psychologically twisted, and always one step ahead.Even though her boyfriend Paul has always been at Marguerite’s side, the Triad’s last attack has left him a changed man, and he may never be the same again. Marguerite alone must stop Triad and prevent the destruction of the multiverse. It’s a battle of the Marguerites . . . and only one can win.In the epic conclusion to the sweeping series that kicked off with A Thousand Pieces of You, fate and family will be questioned, loves will be won and lost, and the multiverse will be forever changed."
Ten Thousand Skies Above You (Firebird),Claudia Gray,Philippines,"fiction, romance","In this sequel to A Thousand Pieces of You by New York Times bestselling author Claudia Gray, Marguerite races through various dimensions to save the boy she loves.Ever since she used the Firebird, her parents' invention, to cross through to alternate dimensions, Marguerite has caught the attention of enemies who will do anything to force her into helping them dominate the multiverse—even hurt the people she loves. She resists until her boyfriend, Paul, is attacked, and his consciousness is scattered across multiple dimensions.The hunt for each splinter of Paul's soul sends Marguerite racing through a war-torn San Francisco, the criminal underworld of New York City, and a glittering Paris, where another Marguerite hides a shocking secret. Each dimension brings Marguerite one step closer to rescuing Paul. But with every trial she faces, she begins to question the one constant she's found between the worlds: their love for each other."
Invisible Woman,Erika Robuck,Philippines,"fiction, thriller","March 1944. Virginia Hall wasn't like the other young society women back home in Baltimore - she traded a safe life for adventure in Europe, and when her beloved second home is thrust into the dark days of war, she leaps in headfirst. Once she's recruited as an Allied spy, subverting the Nazis becomes her calling. But even the most cunning agent can be bested, and in wartime trusting the wrong person can prove fatal. While her future is anything but certain, this time more than ever Virginia knows that failure is not an option. Especially when she discovers what - and whom - she's truly protecting."
"Multipliers, Revised and Updated: How the Best Leaders Make Everyone Smart",Liz Wiseman,Philippines,"self-help, business","A revised and updated edition of the acclaimed Wall Street Journal bestseller that explores why some leaders drain capability and intelligence from their teams while others amplify it to produce better results.We’ve all had experience with two dramatically different types of leaders. The first type drains intelligence, energy, and capability from the people around them and always needs to be the smartest person in the room. These are the idea killers, the energy sappers, the diminishers of talent and commitment. On the other side of the spectrum are leaders who use their intelligence to amplify the smarts and capabilities of the people around them. When these leaders walk into a room, light bulbs go off over people’s heads; ideas flow and problems get solved. These are the leaders who inspire employees to stretch themselves to deliver results that surpass expectations. These are the Multipliers. And the world needs more of them, especially now when leaders are expected to do more with less. In this engaging and highly practical book, leadership expert Liz Wiseman explores these two leadership styles, persuasively showing how Multipliers can have a resoundingly positive and profitable effect on organizations—getting more done with fewer resources, developing and attracting talent, and cultivating new ideas and energy to drive organizational change and innovation. In analyzing data from more than 150 leaders, Wiseman has identified five disciplines that distinguish Multipliers from Diminishers. These five disciplines are not based on innate talent; indeed, they are skills and practices that everyone can learn to use—even lifelong and recalcitrant Diminishers. Lively, real-world case studies and practical tips and techniques bring to life each of these principles, showing you how to become a Multiplier too, whether you are a new or an experienced manager. This revered classic has been updated with new examples of Multipliers, as well as two new chapters one on accidental Diminishers, and one on how to deal with Diminishers.Just imagine what you could accomplish if you could harness all the energy and intelligence around you. Multipliers will show you how."
