Title,creator,Tags,Number_of_Copies,Description
In the Plex,Steven Levy,"business, entrepreneurship, technology",1,"""The most interesting book ever written about Google"" (The Washington Post) delivers the inside story behind the most successful and admired technology company of our time, now updated with a new Afterword. Google is arguably the most important company in the world today, with such pervasive influence that its name is a verb. The company founded by two Stanford graduate students--Larry Page and..."
Incidents in the Life of a Slave Girl,"Harriet Jacobs, Tiya Miles (Introduction by)","biography, autobiography",1,"The most famous autobiography written by a nineteenth-century African American woman, Incidents in the Life of a Slave Girl is a triumph of American literature and an unflinching portrayal of the evils of slavery. ""I was born a slave; but I never knew it till six years of happy childhood had passed away."" In clear and unshrinking prose, Harriet Jacobs--writing under the pseudonym of ""Linda Brent..."
Infinite Game,Simon Sinek,"business, new york time best seller",2,"So many organizations and individuals are obsessed with winning. But how do you win a game that never really ends? There is no such thing, for example, as ""winning"" business. Simon Sinek's Start With Why and Leaders Eat Last have helped millions of readers see the hidden rules that govern our behavior. Now The Infinite Game challenges us to rethink our perspective with a deceptively simple..."
"Inside of a Dog: What Dogs See, Smell, and Know",Alexandra Horowitz,animals,1,"The answers will surprise and delight you as Alexandra Horowitz, a cognitive scientist, explains how dogs perceive their daily worlds, each other, and that other quirky animal, the human. Horowitz introduces the reader to dogs’ perceptual and cognitive abilities and then draws a picture of what it might be like to be a dog. What’s it like to be able to smell not just every bit of open..."
Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),"Benjamin Graham, Jason Zweig","business, economics",1,"This classic text is annotated to update Graham's timeless wisdom for today's market conditions...  The greatest investment advisor of the twentieth century, Benjamin Graham, taught and inspired people worldwide. Graham's philosophy of ""value investing"" -- which shields investors from substantial error and teaches them to develop long-term strategies -- has made The..."
Invisible Woman,Erika Robuck,"fiction, thriller",1,"March 1944. Virginia Hall wasn't like the other young society women back home in Baltimore - she traded a safe life for adventure in Europe, and when her beloved second home is thrust into the dark days of war, she leaps in headfirst. Once she's recruited as an Allied spy, subverting the Nazis becomes her calling. But even the most cunning agent can be bested, and in wartime trusting the wrong..."
It Ends with Us,Colleen Hoover,"fiction, romance",4,"SOMETIMES THE ONE WHO LOVES YOU IS THE ONE WHO HURTS YOU THE MOST.  Lily hasn't always had it easy, but that's never stopped her from working hard for the life she wants. She's come a long way from the small town in Maine where she grew up - she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid,..."
It Starts with Us,Colleen Hoover,"fiction, romance",1,"Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favourite Atlas' side of the story and shares what comes next in this long-anticipated sequel to the #1 Sunday Times bestseller It Ends with Us."
JEPH LOEB and TIM SALE: CAPTAIN AMERICA GALLERY EDITION,"Jeph Loeb, Tim Sale (Illustrator, Cover Design by)","comics, fiction, graphic novel",1,"The legendary creative team of writer Jeph Loeb and artist Tim Sale share a groundbreaking and uniquely colourful perspective on the early World War 2 adventures of Captain America! For Steve Rogers, the hardest thing about being a man out of time is being a man without a best friend. As Captain America comes to terms with his loss, he longs for the black and white moral simplicity of World War II..."
Just Kids,Patti Smith,"memoir, biography",1,"In Just Kids, Patti Smith’s first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies.  An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality to..."
Killing Kryptonite,John Bevere,"spirituality, religion",1,"You Can Destroy What Steals Your Strength. Just like Superman, who can leap over any hurdle and defeat every foe, followers of Christ have the supernatural ability to conquer the challenges we face. But the problem for both Superman and us is there¿s a kryptonite that steals our strength. Of course, both Superman and kryptonite are fictional. But spiritual kryptonite is not. This book offers..."
Kind Worth Killing: A Novel,Peter Swanson,"novel, mystery, suspense, fiction, thriller",1,"A devious tale of psychological suspense involving sex, deception, and an accidental encounter that leads to murder. Fans of Paula Hawkins’ The Girl on the Train will love this modern reimagining of Patricia Highsmith’s classic Strangers on a Train from the author of the acclaimed The Girl with a Clock for a Heart—which the Washington Post said “should be a contender for crime fiction’s..."
Landline: A Novel,Rainbow Rowell,"novel, romance, contemporary",1,"A New York Times Best Seller! Goodreads Choice Award Winner for Best Fiction of 2014! An Indie Next Pick!From New York Times bestselling author of Eleanor & Park and Fangirl, Rainbow Rowell, comes a hilarious, heart-wrenching take on love, marriage, and magic phones.Georgie McCool knows her marriage is in trouble. That it's been in trouble for a long time. She still loves her husband, Neal,..."
Laws of Human Nature,Robert Greene (author),"self-help, business",6,"100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, timetables and consumerism?..."
Layla,Colleen Hoover,fiction,1,"""When Leeds meets Layla, he's convinced he'll spend the rest of his life with her--until an unexpected attack leaves Layla fighting for her life. After weeks in the hospital, Layla recovers physically, but the emotional and mental scarring has altered the woman Leeds fell in love with. In order to put their relationship back on track, Leeds whisks Layla away to the bed-and-breakfast where they..."
Leaders Make the Future: Ten New Leadership Skills for an Uncertain World (Bk Business),Bob Johansen,"business, leadership &amp; management",2,"We are in a time of disruptive leadership change. In a VUCA world—one characterized by volatility, uncertainty, complexity, and ambiguity—traditional leadership skills won’t be enough, noted futurist Bob Johansen argues. Drawing on the latest ten-year forecast from the Institute for the Future—the only futures think tank ever to outlive its forecasts—this powerful..."
Lean Startup,Eric Ries,"business, entrepreneurship, startups",1,"The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses is a book by Eric Ries describing his proposed lean startup strategy for startup companies. Ries developed the idea for the lean startup from his experiences as a startup advisor, employee, and founder.

The Lean Startup method teaches you how to drive a startup-how to steer, when to..."
"Lean Thinking: Banish Waste and Create Wealth in Your Corporation, Revised and Updated","James P. Womack, Daniel T. Jones","business, finance",2,The authors begin by summarizing the five inherent principles in any lean system: Correctly specify value so you are providing what the customer actually wants Identify the value stream for each product family and remove the wasted steps that don't create value but do create muda (waste) Make the remaining value-creating steps flow continuously to drastically shorten throughput timesAllow the...
Leaves of Grass (Bantam Classics),Walt Whitman,fiction,1,"One of the great innovative figures in American letters, Walt Whitman created a daringly new kind of poetry that became a major force in world literature. Leaves Of Grass is his one book.  First published in 1855 with only twelve poems, it was greeted by Ralph Waldo Emerson as ""the wonderful gift . . . the most extraordinary piece of wit and wisdom that America has yet contributed.&..."
Leaves of Grass (Collins Classics),Walt Whitman,fiction,1,"HarperCollins is proud to present its incredible range of best-loved, essential classics.I believe a leaf of grass is no less than the journey work of the stars…First published in 1855, and edited, revised and expanded over thirty years, ‘Leaves of Grass’ has become one of the most celebrated poetry collections in the history of American literature. A master of free verse, Walt Whitman..."
Leaves of Grass (Word Cloud Classics),Walt Whitman,fiction,1,"Leaves of Grass is a timeless collection of poems and essays penned by influential nineteenth-century writer Walt Whitman. This profound compilation explores topics such as nature, mysticism, mortality, transcendentalism, and democracy. Inspired by personal experiences and observations, Whitman spent almost four decades piecing together the complete work, sharing societal ideals and epiphanies..."
Let Us Dream,"Pope Francis, Austen Ivereigh","inspiration, mythology, personal growth",2,"In this uplifting and practical book, written in collaboration with his biographer, Austen Ivereigh, the preeminent spiritual leader explains why we must--and how we can--make the world safer, fairer, and healthier for all people now. In the COVID crisis, the beloved shepherd of over one billion Catholics saw the cruelty and inequity of our society exposed more vividly than ever before. He also..."
Light We Carry: Overcoming in Uncertain Times,Michelle Obama,"autobiography, self-help, memoir",1,"In an inspiring follow-up to her critically acclaimed, #1 bestselling memoir Becoming, former First Lady Michelle Obama shares practical wisdom and powerful strategies for staying hopeful and balanced in today’s highly uncertain world. There may be no tidy solutions or pithy answers to life’s big challenges, but Michelle Obama believes that we can all locate and lean on a set of tools to help..."
Lights Out,"Thomas Gryta, Ted Mann","economics, history",1,"How could General Electric--perhaps America's most iconic corporation--suffer such a swift and sudden fall from grace? This is the definitive history of General Electric's epic decline, as told by the two Wall Street Journal reporters who covered its fall. Since its founding in 1892, GE has been more than just a corporation. For generations, it was job security, a solidly safe investment, and an..."
Lily's Promise: Holding on to Hope Through Auschwitz and Beyond--A Story for All Generations,"Lily Ebert, Dov Forman","memoir, biography",1,
Lonely Planet Bangkok,"Joe Cummings, China Williams",travel,1,"This great guide to Bangkok features 24 colour maps of the city centre and surrounds, a dedicated chapter on the wonders of Thai cuisine, gives you the low-down on Bangkok's eclectic nightlife as well as easy-to-follow walking tours and fun daytrips."
Lonely Planet Beijing,Damian Harper,travel,1,"Comprehensive coverage of all the major sights in Beijing is included in this travel guide, as are detailed notes on hotels, restaurants and nightlife for various budgets. Practical information for the business and independent traveller is also featured throughout this text."
Lonely Planet China,Damian Harper,travel,1,"Thorough, time honored, and true, this guidebook covers it all, from showpiece Hong Kong to new frontiers only recently opened to travelers. Includes sections on cuisine, martial arts, religion, and more. 220 maps."
Lonely Planet Europe On A Shoestring,"Sarah Johnstone, China Williams, Reuben Acciano",travel,1,This comprehensive guide to Europe covers 43 countries and assists travelers with effortless planning through easy-to-use language sections and more budget focus than ever before. of color. 174 maps.
Lonely Planet San Francisco (Lonely Planet Pocket Guide San Francisco),Tom Given,history,1,"San Francisco's restaurants, shops and cultural offerings enjoy detailed coverage, as do tempting destinations outside the city, to Yosimite and Carmel. This guidebook embraces the vibrancy of the city."
Lonely Planet USA,"Jeff Campbell, Loretta Chilcoat, Susan Derby, Beth Greenfield, Carolyn B. Heller, Sam Martin, Debra Miller, Bob Morris, Becky Ohlsen, Andrea Schulte-Peevers, Kurt Wolff, Karla Zimmerman",travel,1,"This Lonely Planet guide covers all 50 U.S. states. It is packed with pre-trip planning advice, itinerary suggestions, distance charts and tips on the most interesting way of getting from A to B."
Lonely Planet Vietnam,"Nick Ray, Wendy Yanagihara",travel,1,"The Lonely Planet Country Guides are the complete country guides for independent travellers. They feature inspirational colour highlights sections, easy-to-use grid-referenced maps and insightful history, culture, food and environment chapters by specialised contributors."
Losing Hope: A Novel,Colleen Hoover,"romance, fiction",1,"Sometimes in life, in order to move forward you must face the past…#1 New York Times bestselling author Colleen Hoover held readers spellbound with her novel Hopeless, the story of what happened when a troubled girl named Sky encountered a long-lost childhood friend, Dean Holder. With Holder’s help, Sky uncovered shocking family secrets and came to terms with memories and emotions..."
Lost Art of the Great Speech: How to Write One--How to Deliver It,Richard Dowis,"self-help, business",1,"""Splashy slides, confident body language, and a lot of eye contact are fine and well. But if a speech is rambling, illogical, or just plain boring, the impact will be lost. Now everyone can learn to give powerful, on-target speeches that capture an audience's attention and drive home a message. The key is not just in the delivery techniques, but in tapping into the power of language...."
Love Hypothesis,Ali Hazelwood,fiction,1,Includes an excerpt from Love on the brain.
"Love Your Life, Not Theirs: 7 Money Habits for Living the Life You Want",Rachel Cruze,"finance, stock market",1,"In Love Your Life, Not Theirs, Rachel Cruze shines a spotlight on the most damaging money habit we have: comparing ourselves to others. Then she unpacks seven essential money habits for living the life we really want--a life in line with our values, where we can afford the things we want to buy without being buried under debt, stress, and worry.The Joneses are broke. Life looks good, but hidden..."
Lunch with the FT,Barber Lionel,biography,1,From film stars to politicians tycoons to writers dissidents to lifestyle gurus Lunch with the FT is a selection of classic interviews conducted in the unforgiving proximity of a restaurant table The list of people who have had Lunch with the FT since 1994 reads like an international Whos Who of our times Meet the rich and famous the weird and the brilliant the brave and the virtuous brought to...
"Maggie, a Girl of the Streets and Other New York Writings (Modern Library Classics)",Stephen Crane,fiction,1,"This harrowing tale of a young girl in the slums is a searing portrayal of turn-of-the-century New York, and Stephen Crane's most innovative work. Published in 1893, when the author was just twenty-one, it broke new ground with its vivid characters, its brutal naturalism, and its empathic rendering of the lives of the poor. It remains both powerful, severe, and harshly comic (in Alfred Kazin..."
"Making Your Voice Heard: How to own your space, access your inner power and become influential",DR. Connson Chou Locke,"communication, personal growth",1,"Making Your Voice Heard is a fresh take on how to successfully influence others, regardless of your gender or background.

DRAWING ON THE LATEST RESEARCH IN SOCIAL PSYCHOLOGY, DR. CONNSON CHOU LOCKE WILL LOOK AT WHY WE ARE PRONE TO MISCOMMUNICATE AND HOW TO OVERCOME THESE BARRIERS. 

This practical guide, based on her popular Guardian Masterclass, will help you hone your personal style, and..."
Man Called Ove: A Novel,Fredrik Backman,"fiction, novel, coming of age, family",1,"In this bestselling and “charming debut” (People) from one of Sweden’s most successful authors, a grumpy yet loveable man finds his solitary world turned on its head when a boisterous young family moves in next door.Meet Ove. He’s a curmudgeon—the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch..."
Mandarin: Lonely Planet Phrasebook,Unavailable,travel,1,"Containing essential words and phrases for effective communication with local people, this title is organized to help travellers find the right words at the right time with ease"
Marvel Comics Library. Spider-Man. Vol. 2. 1965-1966,Philippines,"comics, fiction, graphic novel",1,"Their collaboration on Spider-Man couldn't last forever-but the five-years of Stan Lee and Steve Ditko's remarkable partnership lasted long enough for their character to evolve into a timeless icon and create a fandom that would last generations. TASCHEN's second volume of Amazing Spider-Man stories collects the latter half of the duo's magnum opus, featuring brand new arch-villains the Scorpion,..."
Mary Shelley,Man Called Ove: A Novel,"biography, kids",1,"New in the critically acclaimed Little People, BIG DREAMS series, discover the incredible life of Mary Shelley, the English novelist and creator of Frankenstein. When Mary Shelley was a little girl, she used to write stories beneath the trees in her garden. As an adult, Mary was inspired by this same imagination to create a ghost story, which became the famous novel: Frankenstein. This gripping..."
Master Your Emotions,Fredrik Backman,self-help,6,"Think Smarter, Create Better Strategies, and Get Results Beyond Your Expectations.  Does reality fail to meet your expectations? Do you fall short of your goals over and over again? Do you feel overwhelmed, unsure what the best course of action to follow next?  If so, Master Your Thinking is for you Author and coach, Thibaut Meurisse, wants you to think smarter so that you can take better..."
Master Your Thinking,Thibaut Meurisse,self-help,2,"Think Smarter, Create Better Strategies, and Get Results Beyond Your Expectations.  Does reality fail to meet your expectations? Do you fall short of your goals over and over again? Do you feel overwhelmed, unsure what the best course of action to follow next?  If so, Master Your Thinking is for you Author and coach, Thibaut Meurisse, wants you to think smarter so that you can take better..."
Maybe Not,Colleen Hoover,"novel, romance, fiction, coming-of-age",1,"Colleen Hoover, the New York Times bestselling author of Maybe Someday, brilliantly brings to life the story of the hilarious and charismatic Warren in this new novella.When Warren has the opportunity to live with a female roommate, he instantly agrees. It could be an exciting change. Or maybe not. Especially when that roommate is the cold and seemingly calculating Bridgette. Tensions run high and..."
MAYBE NOW,Colleen Hoover,"fiction, romance",1,"Maggie meets Jake, a cardiologist with a penchant for tandem skydiving. Getting ready for a post-jump date, Maggie comes across an old list of things she wanted to do ""maybe one of these days,"" and decides what better time than now? She keeps Ridge updated on her adventures, but he can't help but worry, even as Sydney grows more and more suspicious about their friendship"
Maybe Someday,Colleen Hoover,"fiction, romance",1,"From #1 New York Times bestselling author Colleen Hoover, a passionate tale of friendship, betrayal, and romance.At twenty-two years old, Sydney has a great life: She’s in college, working a steady job, in love with her wonderful boyfriend, Hunter, and rooming with her best friend, Tori. But everything changes when she discovers Hunter's cheating on her—and she is left trying to..."
McDonaldization of Society: Into the Digital Age,George Ritzer,"sociology, guidebook",1,"The book that made ""McDonaldization"" part of the lexicon of contemporary sociological theory, read by hundreds of thousands of students, is now in its Ninth Edition! George Ritzer′s seminal work of critical sociology, The McDonaldization of Society, continues to stand as one of the pillars of modern day sociological thought. Building on the argument that that the fast food restaurant has become..."
Meditations,"Marcus Aurelius, George Long (Translator), Carolyn Gregoire (Foreword by)","self-help, business",1,"All twelve books by Roman Emperor Marcus Aurelius - his personal guidelines to live and rule well. ""Do every deed, speak every word, think every thought in the knowledge that you may end your days any moment."" ""We have body, soul, and intelligence. To the body belong the senses, to the soul the passions, to the intelligence principles."" ""Think not as your insulter judges or wishes you to judge:..."
Memoirs of Sherlock Holmes,A. Conan Doyle,fiction,1,"HarperCollins is proud to present its incredible range of best-loved, essential classics. âe~It is with a heavy heart that I take up my pen to write these the last words in which I shall ever record the singular gifts by which my friend Mr. Sherlock Holmes was distinguished.âe(tm) This collection of eleven stories depict Holmes and Watson at their very best and solving some of their most..."
Midnight Sun,Stephenie Meyer,"novel, fiction, young adult, romance, fantasy",1,It's here! #1 bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with this highly-anticipated companion: the iconic love story of Bella and Edward told from the vampire's point of view.
Military Misfortunes: The Anatomy of Failure in War,Eliot A. Cohen,military,1,Why do competent armies fail?• Why did the American-led coalition in Iraq fail to wage a classic counter-insurgency campaign for so long after the fall of Baghdad? • Why was the sophisticated Israeli intelligence service so thoroughly surprised by the onslaught of combined Arab armies during the Yom Kippur War of 1973? • How did a dozen German U-boats manage to humiliate the U.S....
Million Worlds with You (Firebird),Claudia Gray,"fiction, romance",1,"The fate of the multiverse rests in Marguerite’s hands in the final installment of the Firebird trilogy by New York Times bestselling author Claudia Gray.Ever since she used the Firebird, her parent’s invention, to cross through alternate dimensions, Marguerite has been at the center of a cross-dimensional feud. Now she has learned that the evil Triad Corporation plans to destroy hundreds of..."
Mindset: The New Psychology of Success,Carol Dweck,"business, inspiration, self-help",2,"World-renowned Stanford University psychologist Carol Dweck, in decades of research on achievement and success, has discovered a truly groundbreaking idea–the power of our mindset.Dweck explains why it’s not just our abilities and talent that bring us success–but whether we approach them with a fixed or growth mindset. She makes clear why praising intelligence and ability doesn&..."
Minecraft Mobspotter's Encyclopedia,Mojang Ab,kids,2,
Misery: A Novel,Stephen King,"novel, horror, fiction, thriller, psychological",1,"The #1 national bestseller about a famous novelist held hostage by his “number one fan” and suffering a frightening case of writer’s block—that could prove fatal. One of “Stephen King’s best…genuinely scary” (USA TODAY).Paul Sheldon is a bestselling novelist who has finally met his number one fan. Her name is Annie Wilkes, and she is more than a rabid reader—she is Paul’s nurse..."
Moment Maker: You Can Live Your Life or It Will Live You,Carlos Enrique Whittaker,personal growth,2,"How to Make Every Moment of Every Day Count Every moment of every day, you have a choice to make. You can either let the minutes pass you by or you can claim them for what they are: opportunities to unlock the full depth of life’s potential. For Carlos Whittaker, renowned blogger, musician and worship leader, and husband and dad, living deliberately is a way of life. Making moments that are..."
Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin S. Sharma,"self-help, personal growth",2,"This is an interesting story. It is a story of a lawyer who appears to have it all - the corner office, the life style, the cars, women, ... Then he gives it all up and tours the East. While there he comes across this strange monk and monastery. He comes to live life in a much different way. Yet he is challenged by the monk who has trained him to go back home and share the message he has learnt,..."
Monsters And Magic - NLP Coaching and Couseling Stories,"Emmanuel F. Silan, PHD","self-help, business",5,
"Multipliers, Revised and Updated: How the Best Leaders Make Everyone Smart",Liz Wiseman,"self-help, business",1,"A revised and updated edition of the acclaimed Wall Street Journal bestseller that explores why some leaders drain capability and intelligence from their teams while others amplify it to produce better results.We’ve all had experience with two dramatically different types of leaders. The first type drains intelligence, energy, and capability from the people around them and always needs to be the..."
"Mythology: Timeless Tales of Gods and Heroes, 75th Anniversary Illustrated Edition",Edith Hamilton,"mythology, history",2,"In celebration of of the 75th anniversary of this classic bestseller, this stunningly illustrated, beautifully packaged, larger-format hardcover edition will be beloved by fans of Greek, Roman, and Norse mythology of all ages. Since its original publication by Little, Brown and Company in 1942, Edith Hamilton's Mythology has sold millions of copies throughout the word and established itself as a..."
Negotiating 101,Peter Sander,"business, communication, leadership &amp; management",1,"A quick-and-easy guide to core business and career concepts--no MBA required! The ability to negotiate a deal. Confidence to oversee staff. Complete, accurate monitoring of expenses. In today's business world, these are must-have skills. But all too often, comprehensive business books turn the important details of best practices into tedious reading that would put even a CEO to sleep. From hiring..."
Never Never,"Colleen Hoover, Tarryn Fisher","fiction, romance",1,"Forgetting is terrifying. Remembering is worse... Charlie Wynwood and Silas Nash have been best friends since they could walk. They've been in love since the age of fourteen. But as of this morning... they are complete strangers. Their first kiss, their first fight, the moment they fell in love... every memory has vanished. Now Charlie and Silas must work together to uncover the truth about what..."
New One Minute Manager,"Ken Blanchard, Spencer, M.D. Johnson",self-help,6,"A new edition based on the timeless business classic—updated to help today’s readers succeed more quickly in a rapidly changing world.For decades, The One Minute Manager® has helped millions achieve more successful professional and personal lives. While the principles it lays out are timeless, our world has changed drastically since the book’s publication. The exponential rise of technology..."
Next Person You Meet in Heaven,Mitch Albom,fiction,1,"In this enchanting sequel to the number one bestseller The Five People You Meet in Heaven, Mitch Albom tells the story of Eddie's heavenly reunion with Annie--the little girl he saved on earth--in an unforgettable novel of how our lives and losses intersect. Fifteen years ago, in Mitch Albom's beloved novel, The Five People You Meet in Heaven, the world fell in love with Eddie, a grizzled war..."
No Excuses!: The Power of Self-Discipline,Brian Tracy,"self-help, business",2,"Most people think success comes from good luck or enormous talent, but many successful people achieve their accomplishments in a simpler way: through self-discipline. No Excuses! shows you how you can achieve success in all three major areas of your life, including your personal goals, business and money goals, and overall happiness.Each of the 21 chapters in this book shows you how to be more..."
Norwegian Wood,Haruki Murakami,"fiction, coming-of-age",1,"This stunning and elegiac novel by the author of the internationally acclaimed Wind-Up Bird Chronicle has sold over 4 million copies in Japan and is now available to American audiences for the first time.  It is sure to be a literary event.Toru, a quiet and preternaturally serious young college student in Tokyo, is devoted to Naoko, a beautiful and introspective young woman, but their mutual..."
Nosotros Means Us,Paloma Valdivia,"fiction, animals, latin america",1,"A moving bilingual ode to the unshakeable bond between a parent and child in the tradition of Runaway Bunny and The Wonderful Things You Will Be. If I were a sheep, you would be a lamb. If I were a bear, you would be a cub. As a mother holds her toddler, they muse over the way their love would translate if they were different animals. But no matter how they change, they will always be ""us."" This..."
November 9 (Nine),Colleen Hoover,"romance, fiction",1,"Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move. Their untimely attraction leads them to spend Fallon's last day in L.A. together, and her eventful life becomes the creative inspiration Ben has always sought for his novel. Over time and amidst the various relationships and tribulations of their own separate lives, they continue to meet on the same date every..."
On the Road: The Original Scroll (Penguin Classics Deluxe Edition),Jack Kerouac,fiction,1,"The legendary 1951 scroll draft of On the Road, published as Kerouac originally composed itIN THREE WEEKS in April of 1951, Jack Kerouac wrote his first full draft of On the Road—typed as a single-spaced paragraph on eight long sheets of tracing paper, which he later taped together to form a 120-foot scroll. A major literary event when it was published in Viking hardcover in 2007, this is..."
"One Piece, Vol. 106",Eiichiro Oda,"fiction, fantasy, anime",1,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the..."
One Piece: East Blue 1-2-3,Eiichiro Oda,"manga, adventure",2,"High jinx on the high seas! Buy three volumes of One Piece for the price of two!R to L (Japanese Style). High jinx on the high seas! Buy three volumes of One Piece for the price of two! As a child, Monkey D. Luffy dreamed of becoming the King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber…at the cost of never being able to swim again!..."
Outliers: The Story of Success,Malcolm Gladwell,"business, startups",1,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different? His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their..."
Outliers: The Story of Success,Malcolm Gladwell,"business, startups",1,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different? His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their..."
Outsider,Stephen King,"novel, crime, fiction, thriller, horror, mystery",1,"Soon to be an HBO limited series starring Ben Mendelsohn! Evil has many faces…maybe even yours in this #1 New York Times bestseller from master storyteller Stephen King. An eleven-year-old boy’s violated corpse is discovered in a town park. Eyewitnesses and fingerprints point unmistakably to one of Flint City’s most popular citizens—Terry Maitland, Little League coach, English teacher,..."
Patriot,Stephen Molstad,"fiction, war, history",1,"In Tyranny's Fire A Hero Is Forged      In Britain's American colonies, the cry goes out for freedom as the air from Lexington to the Carolinas burns hot with powder smoke and cannon fire.  But Benjamin Martin has had his fill of war.  A veteran of the fierce French and Indian conflict, he has renounced fighting forever, retiring to his South Carolina farm to raise his motherless children in peace..."
Percy Jackson's Greek Gods,Rick Riordan,"fantasy, fiction, short story, greek mythology",1,"A publisher in New York asked me to write down what I know about the Greek gods, and I was like, Can we do this anonymously? Because I don't need the Olympians mad at me again. But if it helps you to know your Greek gods, and survive an encounter with them if they ever show up in your face, then I guess writing all this down will be my good deed for the week. So begins Percy Jackson's Greek Gods,..."
Personal MBA 10th Anniversary Edition,Josh Kaufman,"business, entrepreneurship",1,"Many people assume they need to attend business school to learn how to build a successful business or advance in their career. That's not true. The vast majority of modern business practice requires little more than common sense, simple arithmetic, and knowledge of a few very important ideas and principles. The Personal MBA 10th Anniversary Edition provides a clear overview of the essentials of..."
Pied Piper of Hamelin,Little Gestalten,fairy tale,1,"Through a bold palette, the legend of the Pied Piper is artfully enlivened. The Pied Piper of Hamelin is set in the north of Germany in the year 1283. It is nearly Christmas and the townspeople are ready to celebrate when a rodent infestation interrupts their everyday lives. The mayor announces a seemingly straightforward proposition: rid the town of the rats and be given one thousand gold coins...."
Planet Ape,"Desmond Morris, Steve Parker","nature, life sciences, zoology, animals",1,"""Planet Ape"" brings you face to face with your closest living relatives, the Great Apes. Gorillas, chimpanzees, bonobos and orang-utans are only a hair's breadth away from us in evolutionary terms; our DNA differs by just a few per cent. These fascinating creatures hold up a mirror to humanity, giving us insights into our past, our present, and perhaps even our future - the environmental pressures..."
Point of Retreat: A Novel,Colleen Hoover,"romance, fiction",1,"Sometimes two people have to fall apart to realize just how much they belong together. Colleen Hoover entranced readers everywhere with her bestselling novel Slammed, the book that introduced Layken and Will, a young couple whose love overcame devastating hardships to emerge stronger and more resilient than before. Now, as Layken and Will’s emotion-packed story continues, a stunning and..."
Pokémon Visual Companion Third Edition,DK,kids,1,"The world of Pokémon awaits you! Learn all about your favorite Pokémon in this fact-packed guide to the animated series. Discover every region from Kanto to Alola, including the people and Pokémon who live there. Trace Ash's journey and get to know his friends and travel companions. See epic battles and meet Legendary and Mythical Pokémon."
Poor Charlie's Almanack,Charles T. Munger,"business, inspiration, self-help",2,"From the legendary vice-chairman of Berkshire Hathaway, lessons in investment strategy, philanthropy, and living a rational and ethical life. ""Spend each day trying to be a little wiser than you were when you woke up,"" Charles T. Munger advises in Poor Charlie's Almanack. Originally published in 2005, this compendium of eleven talks delivered by the legendary Berkshire Hathaway vice-chairman..."
Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"business, personal growth",1,"OVER 60 WEEKS ON THE NEW YORK TIMES BESTSELLER LISTWith a new Afterword by the author In The Power of Habit, Pulitzer Prize–winning business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. Distilling vast amounts of information into engrossing narratives that take us from the boardrooms of..."
Power of Significance: How Purpose Changes Your Life,John C. Maxwell,"self-help, business, economics",1,"John C. Maxwell, #1 New York Times bestselling author, shows you how to achieve a life of purpose and meaning in this compact new book derived from his previous title, Intentional Living. We all have a longing to be significant, to make a contribution, to  be a part of something noble and purposeful. But know this: you don't  have to be a certain age, have a lot of money, or be powerful or famous..."
Practice of System and Network Administration: Volume 1: DevOps and other Best Practices for Enterprise IT (3rd Edition),"Thomas A. Limoncelli, Christina J. Hogan, Strata R. Chalup","technology, business",3,"With 28 new chapters, the third edition of  The Practice of System and Network Administration  innovates yet again! Revised with thousands of updates and clarifications based on reader feedback, this new edition also incorporates DevOps strategies even for non-DevOps environments.    Whether you use Linux, Unix, or Windows, this new edition describes the essential practices previously handed..."
